ds,y
,AAPL
2022-01-03,178.27032470703125
2022-01-04,176.0077667236328
2022-01-05,171.32601928710938
2022-01-06,168.4660186767578
2022-01-07,168.6324920654297
2022-01-10,168.65208435058594
2022-01-11,171.48268127441406
2022-01-12,171.92349243164062
2022-01-13,168.65208435058594
2022-01-14,169.51402282714844
2022-01-18,166.31118774414062
2022-01-19,162.81454467773438
2022-01-20,161.1298370361328
2022-01-21,159.07305908203125
2022-01-24,158.29922485351562
2022-01-25,156.49708557128906
2022-01-26,156.40892028808594
2022-01-27,155.94857788085938
2022-01-28,166.83030700683594
2022-01-31,171.18887329101562
2022-02-01,171.0223388671875
2022-02-02,172.22705078125
2022-02-03,169.3474884033203
2022-02-04,169.06309509277344
2022-02-07,168.34719848632812
2022-02-08,171.45599365234375
2022-02-09,172.87802124023438
2022-02-10,168.79830932617188
2022-02-11,165.38548278808594
2022-02-14,165.62086486816406
2022-02-15,169.4553680419922
2022-02-16,169.22000122070312
2022-02-17,165.62086486816406
2022-02-18,164.07138061523438
2022-02-22,161.14886474609375
2022-02-23,156.98086547851562
2022-02-24,159.599365234375
2022-02-25,161.6686248779297
2022-02-28,161.9333953857422
2022-03-01,160.05043029785156
2022-03-02,163.3456268310547
2022-03-03,163.02197265625
2022-03-04,160.0210418701172
2022-03-07,156.22573852539062
2022-03-08,154.40162658691406
2022-03-09,159.80528259277344
2022-03-10,155.46078491210938
2022-03-11,151.74392700195312
2022-03-14,147.7132568359375
2022-03-15,152.0969696044922
2022-03-16,156.5101318359375
2022-03-17,157.52023315429688
2022-03-18,160.8154296875
2022-03-21,162.18841552734375
2022-03-22,165.56198120117188
2022-03-23,166.9251708984375
2022-03-24,170.710693359375
2022-03-25,171.34812927246094
2022-03-28,172.21116638183594
2022-03-29,175.50633239746094
2022-03-30,174.33926391601562
2022-03-31,171.24026489257812
2022-04-01,170.946044921875
2022-04-04,174.99632263183594
2022-04-05,171.6815643310547
2022-04-06,168.5138702392578
2022-04-07,168.8179168701172
2022-04-08,166.80751037597656
2022-04-11,162.55125427246094
2022-04-12,164.4243927001953
2022-04-13,167.1114959716797
2022-04-14,162.10012817382812
2022-04-18,161.88433837890625
2022-04-19,164.1693878173828
2022-04-20,164.002685546875
2022-04-21,163.20828247070312
2022-04-22,158.66766357421875
2022-04-25,159.7366180419922
2022-04-26,153.77398681640625
2022-04-27,153.5484161376953
2022-04-28,160.48199462890625
2022-04-29,154.60757446289062
2022-05-02,154.91159057617188
2022-05-03,156.40225219726562
2022-05-04,162.81605529785156
2022-05-05,153.74456787109375
2022-05-06,154.4713134765625
2022-05-09,149.34454345703125
2022-05-10,151.7508087158203
2022-05-11,143.8838348388672
2022-05-12,140.0142059326172
2022-05-13,144.48294067382812
2022-05-16,142.94100952148438
2022-05-17,146.5749053955078
2022-05-18,138.30526733398438
2022-05-19,134.897216796875
2022-05-20,135.13290405273438
2022-05-23,140.55438232421875
2022-05-24,137.8534698486328
2022-05-25,138.01063537597656
2022-05-26,141.21238708496094
2022-05-27,146.96775817871094
2022-05-31,146.1820526123047
2022-06-01,146.05435180664062
2022-06-02,148.5096893310547
2022-06-03,142.78384399414062
2022-06-06,143.53025817871094
2022-06-07,146.05435180664062
2022-06-08,145.3177490234375
2022-06-09,140.09275817871094
2022-06-10,134.68115234375
2022-06-13,129.52491760253906
2022-06-14,130.38919067382812
2022-06-15,133.0115203857422
2022-06-16,127.73741912841797
2022-06-17,129.2106170654297
2022-06-21,133.44366455078125
2022-06-22,132.93295288085938
2022-06-23,135.8008270263672
2022-06-24,139.13027954101562
2022-06-27,139.13027954101562
2022-06-28,134.98561096191406
2022-06-29,136.74363708496094
2022-06-30,134.27847290039062
2022-07-01,136.4490203857422
2022-07-05,139.03204345703125
2022-07-06,140.36773681640625
2022-07-07,143.7364959716797
2022-07-08,144.41419982910156
2022-07-11,142.282958984375
2022-07-12,143.25526428222656
2022-07-13,142.89186096191406
